iso3,country,age_cat,age_desc,daly_scenario,dalys_death,disc_rate,comment,dalys_case,dalys_hospital,dalys_icu
PAK,pakistan,1,0 to 4,high,25.66112854,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,2,5 to 9,high,25.00371594,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,3,10 to 14,high,23.63823862,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,4,15 to 19,high,22.06025262,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,5,20 to 24,high,20.84644347,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,6,25 to 29,high,19.68193763,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,7,30 to 34,high,18.36879314,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,8,35 to 39,high,16.9779828,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,9,40 to 44,high,15.57362891,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,10,45 to 49,high,14.03296785,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,11,50 to 54,high,12.37422854,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,12,55 to 59,high,10.64723042,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,13,60 to 64,high,8.92524821,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,14,65 to 69,high,7.349722539,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,15,70 to 74,high,6.114509708,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,16,75+,high,4.194935914,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,1,0 to 4,low,22.33089403,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,2,5 to 9,low,21.92315104,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,3,10 to 14,low,20.65162708,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,4,15 to 19,low,19.17050336,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,5,20 to 24,low,18.01594512,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,6,25 to 29,low,16.90297859,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,7,30 to 34,low,15.64957046,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,8,35 to 39,low,14.32398002,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,9,40 to 44,low,12.98878197,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,10,45 to 49,low,11.53962398,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,11,50 to 54,low,10.00037973,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,12,55 to 59,low,8.422233867,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,13,60 to 64,low,6.878659072,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,14,65 to 69,low,5.494280945,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,15,70 to 74,low,4.446172736,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,16,75+,low,3.059825535,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,1,0 to 4,high,57.51121212,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,2,5 to 9,high,53.95071414,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,3,10 to 14,high,49.18655018,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,4,15 to 19,high,44.39610254,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,5,20 to 24,high,40.18872554,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,6,25 to 29,high,36.20317782,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,7,30 to 34,high,32.25021815,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,8,35 to 39,high,28.42921229,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,9,40 to 44,high,24.81035133,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,10,45 to 49,high,21.29273652,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,11,50 to 54,high,17.91752898,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,12,55 to 59,high,14.75322959,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,13,60 to 64,high,11.87755705,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,14,65 to 69,high,9.425684203,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,15,70 to 74,high,7.532902072,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,16,75+,high,4.881461888,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
PAK,pakistan,1,0 to 4,low,48.07245779,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,2,5 to 9,low,45.40034238,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,3,10 to 14,low,41.19747506,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,4,15 to 19,low,36.94906757,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,5,20 to 24,low,33.23632775,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,6,25 to 29,low,29.73002193,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,7,30 to 34,low,26.25417067,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,8,35 to 39,low,22.90521289,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,9,40 to 44,low,19.75155654,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,10,45 to 49,low,16.7074113,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,11,50 to 54,low,13.81422318,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,12,55 to 59,low,11.1346874,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,13,60 to 64,low,8.739324517,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,14,65 to 69,low,6.739422765,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,15,70 to 74,low,5.25249553,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
PAK,pakistan,16,75+,low,3.453245463,0,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
NGA,nigeria,1,0 to 4,high,23.06264299,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,2,5 to 9,high,22.65527427,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,3,10 to 14,high,21.37679103,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,4,15 to 19,high,19.77918487,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,5,20 to 24,high,18.64911792,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,6,25 to 29,high,17.6193363,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,7,30 to 34,high,16.45789013,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,8,35 to 39,high,15.20580334,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,9,40 to 44,high,13.92999604,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,10,45 to 49,high,12.49095061,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,11,50 to 54,high,10.9046149,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,12,55 to 59,high,9.236551537,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,13,60 to 64,high,7.572978872,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,14,65 to 69,high,6.074828053,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,15,70 to 74,high,4.96876094,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,16,75+,high,3.636350733,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx",0.008,0.018,0.15
NGA,nigeria,1,0 to 4,low,19.24410727,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
NGA,nigeria,2,5 to 9,low,19.14708812,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
NGA,nigeria,3,10 to 14,low,18.01205241,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
NGA,nigeria,4,15 to 19,low,16.53417502,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
NGA,nigeria,5,20 to 24,low,15.51260456,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
NGA,nigeria,6,25 to 29,low,14.59816613,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
NGA,nigeria,7,30 to 34,low,13.56691054,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
NGA,nigeria,8,35 to 39,low,12.44883405,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
NGA,nigeria,9,40 to 44,low,11.3096594,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
NGA,nigeria,10,45 to 49,low,10.0235294,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
NGA,nigeria,11,50 to 54,low,8.609777577,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
NGA,nigeria,12,55 to 59,low,7.13645208,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
NGA,nigeria,13,60 to 64,low,5.687494502,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
NGA,nigeria,14,65 to 69,low,4.40294398,0.03,"Briggs method, UN 2015-2020 LT, average per age group weighted by lx, 50% comorbid with 90 reduction in QoL + 1.5 SMR",0.008,0.018,0.15
